sample,growth,infected,dpi
ERR1406259,MgCl2,mock,2
ERR1406271,MgCl2,mock,2
ERR1406282,MgCl2,mock,2
ERR1406294,MgCl2,mock,2
ERR1406305,MgCl2,mock,7
ERR1406306,MgCl2,mock,7
ERR1406307,MgCl2,mock,7
ERR1406308,MgCl2,mock,7
ERR1406260,MgCl2,Pseudomonas_syringae_DC3000,2
ERR1406261,MgCl2,Pseudomonas_syringae_DC3000,2
ERR1406262,MgCl2,Pseudomonas_syringae_DC3000,2
ERR1406309,MgCl2,Pseudomonas_syringae_DC3000,2
ERR1406263,MgCl2,Pseudomonas_syringae_DC3000,7
ERR1406264,MgCl2,Pseudomonas_syringae_DC3000,7
ERR1406265,MgCl2,Pseudomonas_syringae_DC3000,7
ERR1406266,MgCl2,Pseudomonas_syringae_DC3000,7
ERR1406287,Methylobacterium_extorquens_PA1,mock,2
ERR1406288,Methylobacterium_extorquens_PA1,mock,2
ERR1406289,Methylobacterium_extorquens_PA1,mock,2
ERR1406290,Methylobacterium_extorquens_PA1,mock,2
ERR1406291,Methylobacterium_extorquens_PA1,mock,7
ERR1406292,Methylobacterium_extorquens_PA1,mock,7
ERR1406293,Methylobacterium_extorquens_PA1,mock,7
ERR1406296,Methylobacterium_extorquens_PA1,mock,7
ERR1406297,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,2
ERR1406298,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,2
ERR1406299,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,2
ERR1406300,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,2
ERR1406301,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,7
ERR1406302,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,7
ERR1406303,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,7
ERR1406304,Methylobacterium_extorquens_PA1,Pseudomonas_syringae_DC3000,7
ERR1406268,Sphingomonas_melonis_Fr1,mock,2
ERR1406269,Sphingomonas_melonis_Fr1,mock,2
ERR1406270,Sphingomonas_melonis_Fr1,mock,2
ERR1406272,Sphingomonas_melonis_Fr1,mock,2
ERR1406273,Sphingomonas_melonis_Fr1,mock,7
ERR1406274,Sphingomonas_melonis_Fr1,mock,7
ERR1406275,Sphingomonas_melonis_Fr1,mock,7
ERR1406276,Sphingomonas_melonis_Fr1,mock,7
ERR1406277,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,2
ERR1406278,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,2
ERR1406279,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,2
ERR1406280,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,2
ERR1406281,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,7
ERR1406284,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,7
ERR1406285,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,7
ERR1406286,Sphingomonas_melonis_Fr1,Pseudomonas_syringae_DC3000,7